id,primaryTitle,nconst
147688,Jurassic Park,Richard Attenborough
147686,Jurassic Park,Sam Neill
147687,Jurassic Park,Jeff Goldblum
114869,Indiana Jones and the Raiders of the Lost Ark,Paul Freeman
114868,Indiana Jones and the Raiders of the Lost Ark,Harrison Ford
315299,No Country for Old Men,Tommy Lee Jones
315302,No Country for Old Men,Woody Harrelson
315301,No Country for Old Men,Josh Brolin
315300,No Country for Old Men,Javier Bardem
160709,Good Will Hunting,Stellan Skarsgard
160708,Good Will Hunting,Ben Affleck
160707,Good Will Hunting,Matt Damon
160706,Good Will Hunting,Robin Williams
239792,Catch Me If You Can,Leonardo DiCaprio
239793,Catch Me If You Can,Tom Hanks
239795,Catch Me If You Can,Martin Sheen
239794,Catch Me If You Can,Christopher Walken
242010,A Beautiful Mind,Russell Crowe
242012,A Beautiful Mind,Christopher Plummer
242011,A Beautiful Mind,Ed Harris
455789,Star Wars: Episode VII - The Force Awakens,Oscar Isaac
455788,Star Wars: Episode VII - The Force Awakens,John Boyega
455790,Star Wars: Episode VII - The Force Awakens,Domhnall Gleeson
383720,The Hunger Games,Liam Hemsworth
383721,The Hunger Games,Stanley Tucci
383719,The Hunger Games,Josh Hutcherson
131661,Die Hard,Bruce Willis
131662,Die Hard,Alan Rickman
108546,Alien,Tom Skerritt
108547,Alien,John Hurt
362463,Harry Potter and the Deathly Hallows: Part 2,Rupert Grint
362462,Harry Potter and the Deathly Hallows: Part 2,Daniel Radcliffe
362464,Harry Potter and the Deathly Hallows: Part 2,Michael Gambon
122218,The Terminator,Michael Biehn
122217,The Terminator,Arnold Schwarzenegger
213093,Snatch,Brad Pitt
213092,Snatch,Jason Statham
336575,Slumdog Millionaire,Dev Patel
336576,Slumdog Millionaire,Saurabh Shukla
336577,Slumdog Millionaire,Anil Kapoor
452375,Avengers: Age of Ultron,Robert Downey Jr.
452376,Avengers: Age of Ultron,Chris Evans
452378,Avengers: Age of Ultron,Chris Hemsworth
452377,Avengers: Age of Ultron,Mark Ruffalo
373648,Iron Man 3,Don Cheadle
